R,COF_mean_1,COF_std_1,COF_mean_2,COF_std_2,COF_mean_3,COF_std_3,Modulus_MPa,,
R3-1,0.0199,0.0168,0.02,0.017,0.0222,0.0162,1.82365,,
R3-2,0.0671,0.0318,0.0634,0.0234,0.0729,0.0351,1.533406,,
R3-3,0.0476,0.072,0.025,0.0645,0.0195,0.0222,2.145459,,
R3-4,0.0475,0.0514,0.0428,0.0557,0.048,0.0233,2.091425,,
R3-5,0.0326,0.0346,0.0351,0.0329,0.0282,0.0358,1.972043,,
R3-6,0.0483,0.073,0.086,0.0454,0.0933,0.0593,3.781795,,
R3-7,0.148,0.0709,0.088,0.045,0.0581,0.0182,1.711269,,
R3-8,0.0529,0.0356,0.0581,0.0384,0.065,0.0353,1.598408,,
