R,COF_mean_1,COF_std_1,COF_mean_2,COF_std_2,COF_mean_3,COF_std_3,Modulus_MPa
R2-1,0.054,0.0327,0.0277,0.0283,0.0227,0.0282,3.665052
R2-2,ERROR1,ERROR1,ERROR1,ERROR1,ERROR1,ERROR1,1.787793
R2-3,ERROR3,ERROR3,ERROR3,ERROR3,ERROR3,ERROR3,ERROR3
R2-4,0.179,0.046,0.1638,0.0295,0.1223,0.0313,1.853742
R2-5,0.0381,0.0377,0.0687,0.0224,null,null,2.099337
R2-6,0.0586,0.041,0.0521,0.0267,0.0926,0.0159,5.107006
R2-7,ERROR3,ERROR3,ERROR3,ERROR3,ERROR3,ERROR3,ERROR3
R2-8,ERROR3,ERROR3,ERROR3,ERROR3,ERROR3,ERROR3,ERROR3
