R,COF_mean_1,COF_std_1,COF_mean_2,COF_std_2,COF_mean_3,COF_std_3,Modulus_MPa
R1-1,0.0482,0.0367,0.0427,0.0073,0.0185,0.0159,1.627277
R1-2,0.07,0.0115,0.0443,0.013,0.0355,0.0276,8.452741
R1-3,0.0366,0.0172,0.0349,0.0119,0.0267,0.0172,1.21859
R1-4,ERROR2,ERROR2,ERROR2,ERROR2,ERROR2,ERROR2,2.443657
R1-5,ERROR2,ERROR2,ERROR2,ERROR2,ERROR2,ERROR2,2.049851
R1-6,0.0072,0.0081,0.0105,0.0095,0.0134,0.0283,3.985999
R1-7,ERROR2,ERROR2,ERROR2,ERROR2,ERROR2,ERROR2,4.032158
R1-8,ERROR2,ERROR2,ERROR2,ERROR2,ERROR2,ERROR2,2.412505
